idx,phi_re,phi_im,psi_re,psi_im
208,-1.398151,-1.333126,0.690077,-0.723736
209,-1.424414,-1.305027,0.675532,-0.737331
210,-1.450112,-1.276412,0.660719,-0.750633
211,-1.475235,-1.247290,0.645645,-0.763638
212,-1.499773,-1.217674,0.630315,-0.776340
213,-1.523717,-1.187576,0.614734,-0.788734
214,-1.547057,-1.157006,0.598911,-0.800816
215,-1.569784,-1.125979,0.582849,-0.812580
216,-1.591889,-1.094504,0.566557,-0.824022
217,-1.613363,-1.062596,0.550040,-0.835138
218,-1.634197,-1.030267,0.533306,-0.845923
219,-1.654384,-0.997530,0.516359,-0.856372
220,-1.673914,-0.964397,0.499209,-0.866482
221,-1.692782,-0.930882,0.481860,-0.876248
222,-1.710978,-0.896998,0.464320,-0.885667
223,-1.728496,-0.862758,0.446596,-0.894736
224,-1.745329,-0.828176,0.428696,-0.903449
225,-1.761471,-0.793266,0.410625,-0.911804
226,-1.776914,-0.758042,0.392391,-0.919798
227,-1.791653,-0.722517,0.374003,-0.927428
228,-1.805681,-0.686706,0.355465,-0.934689
229,-1.818994,-0.650623,0.336787,-0.941581
230,-1.831586,-0.614282,0.317976,-0.948099
231,-1.843452,-0.577697,0.299038,-0.954241
232,-1.854588,-0.540883,0.279982,-0.960005
233,-1.864988,-0.503855,0.260815,-0.965389
234,-1.874649,-0.466628,0.241544,-0.970390
235,-1.883567,-0.429215,0.222178,-0.975006
236,-1.891739,-0.391632,0.202724,-0.979236
237,-1.899160,-0.353894,0.183189,-0.983078
238,-1.905829,-0.316016,0.163582,-0.986530
239,-1.911743,-0.278012,0.143910,-0.989591
240,-1.916898,-0.239898,0.124181,-0.992260
241,-1.921294,-0.201690,0.104402,-0.994535
242,-1.924929,-0.163401,0.084582,-0.996416
243,-1.927800,-0.125047,0.064729,-0.997903
244,-1.929908,-0.086644,0.044850,-0.998994
245,-1.931250,-0.048207,0.024954,-0.999689
246,-1.931827,-0.009750,0.005047,-0.999987
247,-1.931638,0.028710,-0.014862,-0.999890
248,-1.930684,0.067159,-0.034764,-0.999396
249,-1.928964,0.105582,-0.054653,-0.998505
250,-1.926480,0.143962,-0.074520,-0.997219
251,-1.923232,0.182286,-0.094358,-0.995538
252,-1.919222,0.220537,-0.114158,-0.993463
253,-1.914451,0.258701,-0.133914,-0.990993
254,-1.908922,0.296762,-0.153616,-0.988131
255,-1.902636,0.334706,-0.173257,-0.984877
256,-1.895595,0.372517,-0.192829,-0.981232
257,-1.887804,0.410181,-0.212325,-0.977199
258,-1.879264,0.447681,-0.231737,-0.972778
259,-1.869979,0.485005,-0.251057,-0.967972
260,-1.812855,0.495628,-0.263718,-0.964600
261,-1.666633,0.471524,-0.272235,-0.962231
262,-1.469113,0.434745,-0.283759,-0.958896
263,-1.227202,0.382987,-0.297911,-0.954594
264,-0.949349,0.314223,-0.314223,-0.949349
265,-0.645202,0.227213,-0.332162,-0.943222
266,-0.479604,0.194754,-0.376236,-0.926524
267,-0.463823,0.229819,-0.443977,-0.896038
268,-0.445483,0.263617,-0.509268,-0.860608
269,-0.424685,0.295959,-0.571749,-0.820428
270,-0.401543,0.326669,-0.631075,-0.775722
271,-0.376185,0.355575,-0.686919,-0.726734
272,-0.348752,0.382520,-0.738971,-0.673737
273,-0.319394,0.407353,-0.786946,-0.617021
274,-0.288273,0.429939,-0.830579,-0.556901
275,-0.255562,0.450153,-0.869628,-0.493708
276,-0.221440,0.467882,-0.903878,-0.427790
277,-0.186097,0.483029,-0.933141,-0.359511
278,-0.149726,0.495511,-0.957254,-0.289249
279,-0.112530,0.505259,-0.976085,-0.217390
280,-0.074712,0.512218,-0.989529,-0.144332
281,-0.036482,0.516351,-0.997513,-0.070478
282,0.001949,0.517634,-0.999993,0.003766
283,0.040370,0.516061,-0.996954,0.077989
284,0.078568,0.511641,-0.988414,0.151781
285,0.116332,0.504397,-0.974420,0.224736
286,0.153454,0.494369,-0.955048,0.296450
287,0.189729,0.481614,-0.930407,0.366529
