idx,delta_phi_re,delta_phi_im,delta_psi_re,delta_psi_im
384,-9.92704,14.5124,-0.685988,3.76451
385,-10.1415,13.3084,-0.911431,3.7882
386,-10.3102,12.0015,-1.14136,3.80346
387,-10.4318,10.596,-1.37486,3.81014
388,-10.5052,9.09704,-1.61103,3.80818
389,-10.5294,7.51005,-1.84896,3.7975
390,-10.5038,5.84122,-2.08774,3.77806
391,-10.4279,4.09727,-2.32648,3.74986
392,-10.3012,2.28542,-2.56429,3.7129
393,-10.1239,0.413423,-2.80028,3.66723
394,-9.89589,-1.51053,-3.0336,3.61289
395,-9.61771,-3.47781,-3.26341,3.54998
396,-9.28996,-5.4794,-3.48888,3.47859
397,-8.91353,-7.50593,-3.70922,3.39885
398,-8.48958,-9.54776,-3.92367,3.31089
399,-8.01952,-11.595,-4.13147,3.21489
400,-7.50504,-13.6375,-4.33192,3.11101
401,-6.94809,-15.665,-4.52436,2.99945
402,-6.35091,-17.6673,-4.70813,2.88043
403,-5.71601,-19.6339,-4.88264,2.75417
404,-5.04616,-21.5546,-5.04732,2.62091
405,-4.3444,-23.4193,-5.20164,2.48092
406,-3.61407,-25.2177,-5.34512,2.33447
407,-2.85874,-26.9403,-5.47732,2.18185
408,-2.08223,-28.5774,-5.59783,2.02335
409,-1.28859,-30.1199,-5.7063,1.8593
410,-0.48212,-31.5591,-5.80242,1.69002
411,0.332696,-32.8867,-5.88591,1.51586
412,1.1512,-34.0952,-5.95656,1.33716
413,1.96855,-35.1774,-6.01418,1.15431
414,2.77977,-36.1269,-6.05864,0.967669
415,3.57978,-36.938,-6.08986,0.777643
416,4.36343,-37.6058,-6.10779,0.584633
417,5.12551,-38.1261,-6.11244,0.389056
418,5.8608,-38.4958,-6.10386,0.191338
419,6.56411,-38.7125,-6.08213,-0.00808413
420,7.23033,-38.7746,-6.04741,-0.208761
421,7.85444,-38.6816,-5.99988,-0.41024
422,8.43156,-38.4341,-5.93976,-0.612053
423,8.95701,-38.0333,-5.86733,-0.81373
424,9.42635,-37.4816,-5.78291,-1.01479
425,9.8354,-36.7824,-5.68683,-1.21476
426,10.1803,-35.9399,-5.57951,-1.41315
427,10.4576,-34.9594,-5.46138,-1.60947
428,10.6641,-33.8469,-5.3329,-1.80323
429,10.7972,-32.6094,-5.1946,-1.99395
430,10.8548,-31.2549,-5.04701,-2.18115
431,10.8351,-29.7918,-4.89071,-2.36435
432,10.737,-28.2296,-4.72631,-2.54308
433,10.5598,-26.5782,-4.55443,-2.71689
434,10.3037,-24.8482,-4.37576,-2.88533
435,9.96918,-23.0508,-4.19096,-3.04796
436,9.55746,-21.1976,-4.00075,-3.20438
437,9.07039,-19.3005,-3.80586,-3.35419
438,8.51042,-17.3718,-3.607,-3.49702
439,7.88062,-15.4238,-3.40495,-3.63252
440,7.18466,-13.4692,-3.20045,-3.76037
441,6.42682,-11.5205,-2.99427,-3.88027
442,5.61193,-9.59016,-2.78717,-3.99197
443,4.74538,-7.69042,-2.57991,-4.09523
444,3.83303,-5.83331,-2.37324,-4.18985
445,2.88125,-4.03049,-2.1679,-4.27568
446,1.89681,-2.29316,-1.96462,-4.35259
447,0.886848,-0.631981,-1.7641,-4.42049
448,-0.141182,0.942999,-1.56703,-4.47935
449,-1.17957,2.42242,-1.37406,-4.52914
450,-2.22041,3.79768,-1.18583,-4.56991
451,-3.25569,5.06101,-1.00291,-4.60171
452,-4.27731,6.20551,-0.825857,-4.62467
453,-5.27725,7.22523,-0.655188,-4.63892
454,-6.24751,8.11517,-0.491364,-4.64465
455,-7.18031,8.87133,-0.334802,-4.64209
456,-8.06808,9.49075,-0.185867,-4.63147
457,-8.90358,9.9715,-0.0448724,-4.61309
458,-9.67996,10.3127,0.0879248,-4.58727
459,-10.3908,10.5145,0.212324,-4.55433
460,-11.0302,10.5781,0.328182,-4.51464
461,-11.5929,10.5056,0.435416,-4.4686
462,-12.0743,10.3002,0.534002,-4.41659
463,-12.4702,9.96608,0.623973,-4.35904
464,-12.7776,9.50809,0.705425,-4.29638
465,-12.9939,8.93206,0.778507,-4.22903
466,-13.1174,8.24455,0.843428,-4.15744
467,-13.1474,7.45281,0.90045,-4.08203
468,-13.0838,6.56472,0.949884,-4.00325
469,-12.9275,5.58868,0.992094,-3.92151
470,-12.6802,4.53358,1.02749,-3.83722
471,-12.3445,3.40865,1.05651,-3.75079
472,-11.9237,2.22342,1.07966,-3.66258
473,-11.4221,0.987597,1.09744,-3.57296
474,-10.8444,-0.288994,1.11041,-3.48226
475,-10.1964,-1.59653,1.11914,-3.39078
476,-9.48439,-2.92526,1.12422,-3.2988
477,-8.71523,-4.26558,1.12624,-3.20657
478,-7.89637,-5.60816,1.12581,-3.1143
479,-7.03572,-6.94395,1.12355,-3.02217
480,-6.14156,-8.26435,1.12004,-2.93033
481,-5.22248,-9.56116,1.11588,-2.83889
482,-4.28728,-10.8267,1.11165,-2.74794
483,-3.34492,-12.054,1.10789,-2.65753
484,-2.40434,-13.2365,1.10512,-2.56766
485,-1.47447,-14.3683,1.10383,-2.47833
486,-0.564068,-15.4445,1.10447,-2.38949
487,0.318338,-16.4606,1.10744,-2.30107
488,1.16455,-17.4128,1.11311,-2.213
489,1.96681,-18.2983,1.12178,-2.12514
490,2.71781,-19.1147,1.1337,-2.03739
491,3.41087,-19.8604,1.14906,-1.94959
492,4.03992,-20.5347,1.16802,-1.86159
493,4.59963,-21.1373,1.19063,-1.77325
494,5.08541,-21.6686,1.21692,-1.6844
495,5.49351,-22.1296,1.24683,-1.59489
496,5.82103,-22.5218,1.28026,-1.50457
497,6.06595,-22.8471,1.31704,-1.41331
498,6.22719,-23.1079,1.35693,-1.32099
499,6.30456,-23.3071,1.39966,-1.2275
500,6.2988,-23.4476,1.44489,-1.13277
501,6.21157,-23.5327,1.49221,-1.03674
502,6.04542,-23.5658,1.54121,-0.939397
503,5.80375,-23.5505,1.5914,-0.840742
504,5.49081,-23.4903,1.64226,-0.740822
505,5.11158,-23.3888,1.69326,-0.639718
506,4.67181,-23.2493,1.74382,-0.537548
507,4.17785,-23.0753,1.79335,-0.434471
508,3.63666,-22.8697,1.84126,-0.330686
509,3.05568,-22.6354,1.88693,-0.226431
510,2.44275,-22.375,1.92975,-0.121982
511,1.80605,-22.0908,1.96914,-0.0176551
512,1.15396,-21.7847,2.0045,0.0861966
513,0.494989,-21.4582,2.03526,0.189187
514,-0.162314,-21.1125,2.06091,0.290898
515,-0.809493,-20.7484,2.08092,0.390882
516,-1.43826,-20.3664,2.09484,0.488668
517,-2.04059,-19.9665,2.10225,0.583763
518,-2.60884,-19.5484,2.10278,0.675659
519,-3.13582,-19.1116,2.09613,0.763837
520,-3.61486,-18.6553,2.08204,0.84777
521,-4.03993,-18.1782,2.06033,0.926932
522,-4.40568,-17.6792,2.03087,1.0008
523,-4.7075,-17.1568,1.9936,1.06887
524,-4.94162,-16.6094,1.94855,1.13065
525,-5.10508,-16.0356,1.8958,1.18566
526,-11.2423,-45.0973,1.9087,1.23999
527,-11.613,-44.4818,1.89759,1.24658
528,-12.1482,-43.8259,1.88978,1.24799
529,-12.8333,-43.1503,1.88553,1.2444
530,-13.6496,-42.4745,1.88501,1.23609
531,-14.5752,-41.8163,1.88827,1.22345
532,-7.36377,-13.4634,1.88397,1.14664
533,-8.43939,-12.6072,1.89481,1.09105
534,-9.45252,-11.7004,1.89929,1.03598
535,-10.4,-10.7485,1.89747,0.981746
536,-11.2791,-9.75667,1.88942,0.928646
537,-12.0873,-8.73045,1.87527,0.876971
538,-12.8226,-7.67518,1.85514,0.826996
539,-13.483,-6.59619,1.82917,0.778983
540,-14.0672,-5.49882,1.79754,0.733177
541,-14.5741,-4.38827,1.76044,0.689812
542,-15.0029,-3.2697,1.71807,0.649097
543,-15.3529,-2.14812,1.67065,0.61123
544,-15.624,-1.02844,1.61842,0.576386
545,-15.8164,0.084579,1.56163,0.544725
546,-15.9302,1.18634,1.50054,0.516384
547,-15.9663,2.2724,1.43544,0.491485
548,-15.9254,3.33854,1.3666,0.470126
549,-15.8086,4.3807,1.29433,0.452387
550,-15.6173,5.39505,1.21893,0.438328
551,-15.3532,6.37796,1.14071,0.42799
552,-15.0179,7.32603,1.06,0.421394
553,-14.6135,8.2361,0.977102,0.41854
554,-14.1421,9.10524,0.892357,0.419411
555,-13.6061,9.93077,0.806092,0.42397
556,-13.008,10.7102,0.718638,0.432163
557,-12.3504,11.4415,0.630325,0.443919
558,-11.6362,12.1225,0.541485,0.459148
559,-10.8681,12.7517,0.452448,0.477744
560,-10.0494,13.3276,0.36354,0.499587
561,-9.18298,13.849,0.275084,0.524543
562,-8.2722,14.315,0.1874,0.552461
563,-7.32033,14.7248,0.100804,0.583178
564,-6.33073,15.0781,0.0156021,0.616522
565,-5.30682,15.3746,-0.0679018,0.652306
566,-4.25208,15.6143,-0.149414,0.690335
567,-3.17002,15.7975,-0.228648,0.730405
568,-2.06416,15.9246,-0.305323,0.772303
569,-0.938081,15.9964,-0.379173,0.81581
570,0.204665,16.0136,-0.449935,0.860699
571,1.36051,15.9774,-0.517362,0.906743
572,2.52588,15.889,-0.581214,0.953705
573,3.69725,15.7498,-0.641261,1.00135
574,4.87109,15.5616,-0.69729,1.04944
575,6.04392,15.3259,-0.749092,1.09773
576,7.21227,15.0448,-0.796476,1.146
577,8.37276,14.7203,-0.83926,1.19399
