x,y,psi2
-20,-1.25418,0.0171441
-20,-1.15385,0.010399
-20,-1.05351,0.00592947
-20,-0.953177,0.00429077
-20,-0.852843,0.00590376
-20,-0.752508,0.0110541
-20,-0.652174,0.0199112
-20,-0.551839,0.0325449
-20,-0.451505,0.0500559
-20,-0.351171,0.0677605
-20,-0.250836,0.0857929
-20,-0.150502,0.1157
-20,-0.0501672,0.152752
-20,0.0501672,0.179803
-20,0.150502,0.215885
-20,0.250836,0.25001
-20,0.351171,0.287643
-20,0.451505,0.322237
-20,0.551839,0.349811
-20,0.652174,0.379681
-20,0.752508,0.401635
-20,0.852843,0.418945
-20,0.953177,0.429261
-20,1.05351,0.4291
-20,1.15385,0.422879
-20,1.25418,0.41103
-20,1.35452,0.393047
-20,1.45485,0.371902
-20,1.55518,0.346435
-20,1.65552,0.320422
-20,1.75585,0.295101
-20,1.85619,0.272104
-20,1.95652,0.251283
-20,2.05686,0.233815
-20,2.15719,0.219159
-20,2.25753,0.206921
-20,2.35786,0.19654
-20,2.45819,0.187342
-20,2.55853,0.178631
-20,2.65886,0.169936
-20,2.7592,0.161204
-20,2.85953,0.15224
-20,2.95987,0.143259
-20,3.0602,0.134459
-20,3.16054,0.126029
-20,3.26087,0.118318
-20,3.3612,0.111327
-20,3.46154,0.105003
-20,3.56187,0.099366
-20,3.66221,0.0944436
-20,3.76254,0.0901175
-20,3.86288,0.0863042
-20,3.96321,0.0832949
-20,4.06355,0.0812972
-20,4.16388,0.0809169
-20,4.26421,0.0822286
-20,4.36455,0.0854579
-20,4.46488,0.0917158
-20,4.56522,0.100566
-20,4.66555,0.113716
-20,4.76589,0.129533
-20,4.86622,0.148948
-20,4.96656,0.171915
-20,5.06689,0.19691
-20,5.16722,0.222609
-20,5.26756,0.247423
-20,5.36789,0.273342
-20,5.46823,0.296853
-20,5.56856,0.318712
-20,5.6689,0.337689
-20,5.76923,0.35344
-20,5.86957,0.36584
-20,5.9699,0.375057
-20,6.07023,0.381447
-20,6.17057,0.385551
-20,6.2709,0.387982
-20,6.37124,0.389372
-20,6.47157,0.390278
-20,6.57191,0.391143
-20,6.67224,0.392215
-20,6.77258,0.393544
-20,6.87291,0.394983
-20,6.97324,0.396193
-20,7.07358,0.396715
-20,7.17391,0.395997
-20,7.27425,0.39349
-20,7.37458,0.388704
-20,7.47492,0.381264
-20,7.57525,0.370972
-20,7.67559,0.357846
-20,7.77592,0.342123
-20,7.87625,0.324256
-20,7.97659,0.304903
-20,8.07692,0.284879
-20,8.17726,0.265109
-20,8.27759,0.246569
-20,8.37793,0.230221
-20,8.47826,0.216955
